Article Title,Source Title,"Times Cited, All Databases",Publication Year
"A New Species of Fairy Wrasse (Teleostei: Labridae: Cirrhilabrus) from Mesophotic Coral Ecosystems of the Verde Island Passage, Philippines",COPEIA,9,2020
"Identification, characterization and expression analysis of the VQ motif-containing gene family in tea plant (Camellia sinensis)",BMC GENOMICS,34,2018
Fates of angiosperm species following long-distance dispersal: Examples from American amphitropical Polemoniaceae,AMERICAN JOURNAL OF BOTANY,13,2017
"Categorizing ideas about systematics: alternative trees of trees, and related representations",RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,4,2017
"Out of the forest: past and present range expansion of a parthenogenetic weevil pest, or how to colonize the world successfully",ECOLOGY AND EVOLUTION,16,2016
Quantitative analysis of commensal Escherichia coli populations reveals host-specific enterotypes at the intra-species level,MICROBIOLOGYOPEN,48,2015
Bioinformatic analysis of the four transcription factors used to induce pluripotent stem cells,CYTOTECHNOLOGY,5,2014
The vegetarian brain: chatting with monkeys and pigs?,BRAIN STRUCTURE & FUNCTION,10,2013
Comparison of DNA binding across protein superfamilies,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,11,2010
Insight into the microbial mechanisms for the improvement of spent mushroom substrate composting efficiency driven by phosphate-solubilizing Bacillus subtilis,JOURNAL OF ENVIRONMENTAL MANAGEMENT,6,2023
Genome-wide identification of gap junction (connexins and pannexins) genes in black rockfish (Sebastes schlegelii): Evolution and immune response mechanism following challenge,FISH & SHELLFISH IMMUNOLOGY,1,2023
"Mitochondrial DNA sequence analysis reveals multiple Pleistocene glacial refugia for the Yellow-spotted mountain newt, Neurergus derjugini (Caudata: Salamandridae) in the mid-Zagros range in Iran and Iraq",ECOLOGY AND EVOLUTION,22,2020
Transcriptional Roadmap to Seasonal Variation in Wood Formation of Norway Spruce,PLANT PHYSIOLOGY,39,2018
The phylogeny and evolutionary history of the Lesion Simulating Disease (LSD) gene family in Viridiplantae,MOLECULAR GENETICS AND GENOMICS,8,2015
Generation-Biased Gene Expression in a Bryophyte Model System,MOLECULAR BIOLOGY AND EVOLUTION,41,2011
Transmission Networks and Population Turnover of Echovirus 30,JOURNAL OF VIROLOGY,96,2009
Patterns of nucleotide sequence variation in ICAM1 and TNF genes in twelve ethnic groups of India:: roles of demographic history and natural selection,JOURNAL OF GENETICS,5,2007
Investigation of machine learning algorithms for taxonomic classification of marine metagenomes,MICROBIOLOGY SPECTRUM,1,2023
"The Molecular Epidemiological and Immunological Characteristics of HIV-1 CRF01_AE/B Recombinants in Nanjing, China",FRONTIERS IN MICROBIOLOGY,4,2022
"Supporting function of vegetation in urban riparian ecological corridors for ground-dwelling faunal diversity in Beijing, China",SCIENCE OF THE TOTAL ENVIRONMENT,0,2024
Differential microbial composition in parasitic vs. questing ticks based on 16S next-generation sequencing,FRONTIERS IN MICROBIOLOGY,0,2023
A DELAY OF GERMINATION 1 (DOG1)-like protein regulates spore germination in the moss Physcomitrium patens,PLANT JOURNAL,1,2024
Taxonomic study of Scytosiphon (Phaeophyceae) from temperate coasts of Argentina,JOURNAL OF PHYCOLOGY,0,2023
"Genomic, metabonomic and transcriptomic analyses of sweet osmanthus varieties provide insights into floral aroma formation",SCIENTIA HORTICULTURAE,8,2022
Species delimitation of the northeastern Anatolian Symphytum (Boraginaceae) taxa,PHYTOTAXA,0,2021
More than meets the eye: phylogeographic inferences and remarkable cryptic diversity and in endemic catfish Parotocinclus (Loricariidae: Hypoptopomatinae) from neglected and impacted basins in South America,CONSERVATION GENETICS,5,2021
Geographical Genetic Variation and Sources of Korean Aedes albopictus (Diptera: Culicidae) Populations,JOURNAL OF MEDICAL ENTOMOLOGY,9,2020
Extinctions of Threatened Frogs may Impact Ecosystems in a Global Hotspot of Anuran Diversity,HERPETOLOGICA,8,2020
"Cryptic diversity in the Mexican highlands: Thousands of UCE loci help illuminate phylogenetic relationships, species limits and divergence times of montane rattlesnakes (Viperidae: Crotalus)",MOLECULAR ECOLOGY RESOURCES,43,2019
Chemiluminescent Biosensors for Detection of Second Messenger Cyclic di-GMP,ACS CHEMICAL BIOLOGY,29,2018
Diversification of spatiotemporal expression and copy number variation of the echinoid hbox12/pmar1/micro1 multigene family,PLOS ONE,10,2017
Hydrophobins in the Life Cycle of the Ectomycorrhizal Basidiomycete Tricholoma vaccinum,PLOS ONE,30,2016
Combining Tpi and CO1 Genetic Markers to Discriminate Invasive Helicoverpa armigera From Local Helicoverpa zea (Lepidoptera: Noctuidae) Populations in the Southeastern United States,JOURNAL OF ECONOMIC ENTOMOLOGY,10,2016
Intravarietal polymorphisms reveal possible common ancestor of native Schinus terebinthifolius Raddi populations in Brazil,GENETICS AND MOLECULAR RESEARCH,1,2016
A Highly Coupled Network of Tertiary Interactions in the SAM-I Riboswitch and Their Role in Regulatory Tuning,JOURNAL OF MOLECULAR BIOLOGY,11,2015
"Diversity of the snail-eating snakes Pareas (Serpentes, Pareatidae) from Taiwan",ZOOLOGICA SCRIPTA,38,2015
Social Network-Based Recruitment Successfully Reveals HIV-1 Transmission Networks Among High-Risk Individuals in El Salvador,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,32,2013
RETICULATE EVOLUTION IN THE CREPIDOMANES MINUTUM SPECIES COMPLEX (HYMENOPHYLLACEAE),AMERICAN JOURNAL OF BOTANY,44,2011
Transplantation of germ cells from rabbits and dogs into mouse testes,BIOLOGY OF REPRODUCTION,231,1999
Genome-Wide Exploration of the WD40 Gene Family in Eggplant (Solanum melongena L.) and Analysis of Its Function in Fruit Color Formation,AGRONOMY-BASEL,0,2024
Oil candidate genes in seeds of cotton (Gossypium hirsutum L.) and functional validation of GhPXN1,BIOTECHNOLOGY FOR BIOFUELS AND BIOPRODUCTS,0,2023
Inferring microbial community assembly in an urban river basin through geo-multi-omics and phylogenetic bin-based null-model analysis of surface water,ENVIRONMENTAL RESEARCH,1,2023
Characterization and genomic analysis of a novel halovirus infecting Chromohalobacter beijerinckii,FRONTIERS IN MICROBIOLOGY,1,2022
A survey of substrate specificity among Auxiliary Activity Family 5 copper radical oxidases,CELLULAR AND MOLECULAR LIFE SCIENCES,14,2021
A Seed Mucilage-Degrading Fungus Fromthe Rhizosphere Strengthens the Plant-Soil-Microbe Continuum and Potentially Regulates Root Nutrients of a Cold Desert Shrub,MOLECULAR PLANT-MICROBE INTERACTIONS,1,2021
"Fish complement C8 evolution, functional network analyses, and the theoretical interaction between C8 alpha chain and CD59",MOLECULAR IMMUNOLOGY,3,2020
"Molecular phylogenetic and genetic variability of Fasciola gigantica in Kermanshah province, western Iran with an overview to understand haplotypes distribution in Asia and Africa",VETERINARY RESEARCH FORUM,4,2020
"Unraveling CAF-1 family in Plasmodium falciparum: comparative genome-wide identification and phylogenetic analysis among eukaryotes, expression profiling and protein-protein interaction studies",3 BIOTECH,2,2020
The Site-Specific Amino Acid Preferences of Homologous Proteins Depend on Sequence Divergence,GENOME BIOLOGY AND EVOLUTION,4,2019
Ancient duplications and functional divergence in the interferon regulatory factors of vertebrates provide insights into the evolution of vertebrate immune systems,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,13,2018
Differential Retention of Gene Functions in a Secondary Metabolite Cluster,MOLECULAR BIOLOGY AND EVOLUTION,42,2017
"LEAF NITROGEN AND PHOSPHORUS STOICHIOMETRY OF PLANTS FROM NATURAL AND RESTORABLE COMMUNITIES AT LANDS USED FOR QINGHAI-TIBET HIGHWAY CONSTRUCTION, CHINA",POLISH JOURNAL OF ECOLOGY,5,2014
Assessment of Host-Associated Genetic Differentiation among Phenotypically Divergent Populations of a Coral-Eating Gastropod across the Caribbean,PLOS ONE,15,2012
Multilocus sequence analysis and type III effector repertoire mining provide new insights into the evolutionary history and virulence of Xanthomonas oryzae,MOLECULAR PLANT PATHOLOGY,36,2012
Genomic insights into the physiology and ecology of the marine filamentous cyanobacterium Lyngbya majuscula,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,100,2011
Neuromuscular development in Novocrania anomala: evidence for the presence of serotonin and a spiralian-like apical organ in lecithotrophic brachiopod larvae,EVOLUTION & DEVELOPMENT,42,2010
"Isolation and characterization of a baculovirus associated with the insect parasitoid wasp, Cotesia marginiventris, or its host, Trichoplusia ni",JOURNAL OF INSECT SCIENCE,7,2008
Striking differentiation of sub-populations within a genetically homogeneous isolate (Ogliastra) in Sardinia as revealed by mtDNA analysis,HUMAN GENETICS,51,2003
"A retrospective genomic analysis of drug-resistant strains of M. tuberculosis in a high-burden setting, with an emphasis on comparative diagnostics and reactivation and reinfection status",BMC INFECTIOUS DISEASES,14,2020
The Cell's View of Animal Body-Plan Evolution,INTEGRATIVE AND COMPARATIVE BIOLOGY,2,2014
Correlation exploration of metabolic and genomic diversity in rice,BMC GENOMICS,42,2009
Landscape dynamics and diversification of the megadiverse South American freshwater fish fauna,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,26,2023
"Geographic isolation causes low genetic diversity and significant pedigree differentiation in populations of Camellia drupifera, a woody oil plant native to China",INDUSTRIAL CROPS AND PRODUCTS,4,2023
Taxonomic resolution of coral image classification with Convolutional Neural Network,AQUATIC ECOLOGY,0,2023
"'Candidatus Mycoplasma haematonasua' and tick-borne pathogens in ring-tailed coatis (Nasua nasua Linnaeus, 1976) from the Iguacu National Park, Parana State, southern Brazil",TRANSBOUNDARY AND EMERGING DISEASES,9,2021
Regional Spread of blaNDM-1-Containing Klebsiella pneumoniae ST147 in Post-Acute Care Facilities,CLINICAL INFECTIOUS DISEASES,20,2021
Ancient and recent Middle Eastern maternal genetic contribution to North Africa as viewed by mtDNA diversity in Tunisian Arab populations,AMERICAN JOURNAL OF HUMAN BIOLOGY,12,2018
Loss and conservation of evolutionary history in the Mediterranean Basin,BMC ECOLOGY,7,2016
Assessing the genetic diversity of five Tanzanian chicken ecotypes using molecular tools,SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,30,2013
Neogene climatic oscillations shape the biogeography and evolutionary history of the Eurasian blindsnake,MOLECULAR PHYLOGENETICS AND EVOLUTION,58,2012
Population-based resequencing reveals that the flowering time adaptation of cultivated barley originated east of the fertile crescent,MOLECULAR BIOLOGY AND EVOLUTION,189,2008
Evolutionary history of an Irano-Turanian cushion-forming legume (Onobrychis cornuta),BMC PLANT BIOLOGY,0,2024
"Distribution, assembly, and interactions of soil microorganisms in the bright coniferous forest area of China's cold temperate zone",SCIENCE OF THE TOTAL ENVIRONMENT,1,2023
Genome-wide analysis of hyperosmolality-gated calcium-permeable channel (OSCA) family members and their involvement in various osmotic stresses in Brassica napus,GENE,2,2023
Extensive sharing of chloroplast haplotypes among East Asian Cerris oaks: The imprints of shared ancestral polymorphism and introgression,ECOLOGY AND EVOLUTION,8,2022
A dedicated flavin-dependent monooxygenase catalyzes the hydroxylation of demethoxyubiquinone into ubiquinone (coenzyme Q) in Arabidopsis,JOURNAL OF BIOLOGICAL CHEMISTRY,10,2021
Extra-large G-proteins influence plant response to Sclerotinia sclerotiorum by regulating glucosinolate metabolism in Brassica juncea,MOLECULAR PLANT PATHOLOGY,9,2021
"Ionomic variation in leaves of 819 plant species growing in the botanical garden of Hokkaido University, Japan",JOURNAL OF PLANT RESEARCH,11,2021
PHYLOGENETIC RELATIONSHIPS OF TWO REPRESENTATIVE LEPIDIUM SPECIES (BRASSICACEAE) IN QINGHAI PROVINCE,PAKISTAN JOURNAL OF BOTANY,0,2020
Transmission of hepatitis C virus in HIV-positive and PrEP-using MSM in England,JOURNAL OF VIRAL HEPATITIS,15,2020
Phylogeographic Analyses Reveal the Early Expansion and Frequent Bidirectional Cross-Border Transmissions of Non-pandemic HIV-1 Subtype B Strains in Hispaniola,FRONTIERS IN MICROBIOLOGY,4,2019
Three monophyletic clusters in Retortamonas species isolated from vertebrates,PARASITOLOGY INTERNATIONAL,2,2019
Genetic diversity of aphid (Hemiptera: Aphididae) species attacking amaranth and nightshades in different agro-ecological zones of Kenya and Tanzania,AFRICAN ENTOMOLOGY,1,2018
Molecular epidemiology of Italian clinical Cryptococcus neoformans var. grubii isolates,MEDICAL MYCOLOGY,34,2013
Co-existence of blaOXA-23 and armA in multidrug-resistant Acinetobacter baumannii isolated from a hospital in South Korea,JOURNAL OF MEDICAL MICROBIOLOGY,20,2013
Mitochondrial Genome Rearrangements in Glomus Species Triggered by Homologous Recombination between Distinct mtDNA Haplotypes,GENOME BIOLOGY AND EVOLUTION,37,2013
THE EVOLUTIONARY HISTORY OF THE WHITE-RAYED SPECIES OF MELAMPODIUM (ASTERACEAE) INVOLVED MULTIPLE CYCLES OF HYBRIDIZATION AND POLYPLOIDIZATION,AMERICAN JOURNAL OF BOTANY,14,2012
"Phylogeography of the Taiwanese endemic Hillstream loaches, Hemimyzon formosanus and H. taitungensis (Cypriniformes: balitoridae)",ZOOLOGICAL STUDIES,21,2007
Bacterial regulatory networks are extremely flexible in evolution,NUCLEIC ACIDS RESEARCH,172,2006
Rock substrate rather than black stain alterations drives microbial community structure in the passage of Lascaux Cave,MICROBIOME,27,2018
"Identification, Evolutionary Relationship Analysis of the Trehalose-6-Phosphate Synthase (TPS) Gene Family in Common Bean (Phaseolus vulgaris) and Their Expression in Response to Cold Stress",JOURNAL OF PLANT GROWTH REGULATION,2,2024
Association of bat flies (Diptera: Streblidae) and bats: Richness and host specificity in Western Mexico,INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,0,2023
?In the light of evolution:? keratins as exceptional tumor biomarkers,PEERJ,2,2023
ITRAQ-based quantitative proteomics analysis of forest musk deer with pneumonia,FRONTIERS IN VETERINARY SCIENCE,0,2022
Ecological specialization promotes diversity and diversification in the Eastern Mediterranean genus Ricotia (Brassicaceae),JOURNAL OF SYSTEMATICS AND EVOLUTION,10,2022
Pathogen Genomics in Public Health,OBSTETRICAL & GYNECOLOGICAL SURVEY,0,2020
Lateral neural borders as precursors of peripheral nervous systems: A comparative view across bilaterians,DEVELOPMENT GROWTH & DIFFERENTIATION,9,2019
"Genome-wide and comparative analysis of bHLH38, bHLH39, bHLH100 and bHLH101 genes in Arabidopsis, tomato, rice, soybean and maize: insights into iron (Fe) homeostasis",BIOMETALS,28,2018
Host specificity versus plasticity: testing the morphology-based taxonomy of the endoparasitic copepod family Splanchnotrophidae with COI barcoding,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,1,2018
"Molecular differentiation of epigeic and anceic forms of Drawida ghilarovi Gates, 1969 (Moniligastridae, Clitellata) in the Russian Far East: Sequence data of two mitochondrial genes",EUROPEAN JOURNAL OF SOIL BIOLOGY,13,2018
Identification and characterization of protein 14-3-3 in carcinogenic liver fluke Opisthorchis viverrini,PARASITOLOGY INTERNATIONAL,12,2017
"Genetic diversity and phylogeography of highly zoonotic Echinococcus granulosus genotype G1 in the Americas ( Argentina, Brazil, Chile and Mexico) based on 8279 bp of mtDNA",INFECTION GENETICS AND EVOLUTION,39,2016
Transmission of methicillin-resistant Staphylococcus aureus in long-term care facilities and their related healthcare networks,GENOME MEDICINE,27,2016
Molecular cloning and expression analysis of neuregulin 1 (Nrg1) in the hypothalamus of Huoyan goose during different stages of the egg-laying cycle,GENE,2,2016
Global molecular genetic analysis of porcine circovirus type 2 (PCV2) sequences confirms the presence of four main PCV2 genotypes and reveals a rapid increase of PCV2d,JOURNAL OF GENERAL VIROLOGY,216,2015
"Population structure, population history and DNA barcoding of fruit fly Bactrocera latifrons (Hendel) (Diptera: Tephritidae)",ENTOMOLOGICAL SCIENCE,34,2014
"NeXML: Rich, Extensible, and Verifiable Representation of Comparative Data and Metadata",SYSTEMATIC BIOLOGY,72,2012
Gene network reconstruction identifies the authentic trans-prenyl diphosphate synthase that makes the solanesyl moiety of ubiquinone-9 in Arabidopsis,PLANT JOURNAL,54,2012
"ORS1, an H2O2-Responsive NAC Transcription Factor, Controls Senescence in Arabidopsis thaliana",MOLECULAR PLANT,274,2011
Evolutionary history suggests rapid differentiation in the yellow-throated warbler Dendroica dominica,JOURNAL OF AVIAN BIOLOGY,21,2009
"Distribution of serotonin in the trunk of Metaperipatus blainvillei (Onychophora, Peripatopsidae):: Implications for the evolution of the nervous system in arthropoda",JOURNAL OF COMPARATIVE NEUROLOGY,35,2008
Characterization of microbial communities from gut microbiota of hypercholesterolemic and control subjects,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,4,2022
Identification of the NAC Transcription Factors and Their Function in ABA and Salinity Response in Nelumbo nucifera,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,6,2022
Genome-Wide Identification and Expression Patterns of the F-box Family in Poplar under Salt Stress,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,4,2022
Geographical contrasts of Y-chromosomal haplogroups from wild and domestic goats reveal ancient migrations and recent introgressions,MOLECULAR ECOLOGY,7,2022
Genome-wide analysis of JAZ family genes expression patterns during fig (Ficus carica L.) fruit development and in response to hormone treatment,BMC GENOMICS,11,2022
Genome-wide analysis of the MADS-box gene family in Rhododendron hainanense Merr. and expression analysis under heat and waterlogging stresses,INDUSTRIAL CROPS AND PRODUCTS,20,2021
"Maternal origins, population structure and demographic history of ten Chinese indigenous goat breeds from Yunnan",JOURNAL OF ANIMAL BREEDING AND GENETICS,2,2021
Differences in social and mental well-being of long-term survivors among people who inject drugs and other participants in the Swiss HIV Cohort Study: 1980-2018,ANTIVIRAL THERAPY,2,2020
Cyt b gene and D-loop sequence analyses of Coilia nasus from the Rokkaku River of Japan,REGIONAL STUDIES IN MARINE SCIENCE,7,2019
Plastid phylogeography of Delphinium fissum subsp. sordidum and the series Fissa (Ranunculaceae) in the Iberian Peninsula: implications for conservation,BOTANY LETTERS,3,2019
"Genetic Diversity of Penaeus monodon (Fabricius, 1798) in the Philippines as Revealed by Mitochondrial Cytochrome Oxidase I (COI)",PHILIPPINE AGRICULTURAL SCIENTIST,1,2018
Plasmid Classification in an Era of Whole-Genome Sequencing: Application in Studies of Antibiotic Resistance Epidemiology,FRONTIERS IN MICROBIOLOGY,135,2017
"On the Dispersal of Bottle Gourd [Lagenaria siceraria (Mol.) Standl.] Out of Africa: a Contribution from the Analysis of Nuclear Ribosomal DNA Haplotypes, Divergent Paralogs and Variants of 5.8S Protein Sequences",PLANT MOLECULAR BIOLOGY REPORTER,7,2016
Genetic interrelationships of North American populations of giant liver fluke Fascioloides magna,PARASITES & VECTORS,13,2015
Use of phytoplankton-derived dissolved organic carbon by different types of bacterioplankton,ENVIRONMENTAL MICROBIOLOGY,180,2012
Complexity of miRNA-dependent regulation in root symbiosis,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,47,2012
"Vegetative, reproductive and molecular characterization of Gloiocladia microspora (Faucheaceae, Rhodophyta)",EUROPEAN JOURNAL OF PHYCOLOGY,3,2010
"Mitochondrial phylogeography of the European sprat (Sprattus sprattus L., Clupeidae) reveals isolated climatically vulnerable populations in the Mediterranean Sea and range expansion in the northeast Atlantic",MOLECULAR ECOLOGY,71,2008
Genetic divergence and migration patterns in a North American passerine bird: implications for evolution and conservation,MOLECULAR ECOLOGY,43,2006
Pharyngeal Communities and Antimicrobial Resistance in Pangolins in Gabon,MICROBIOLOGY SPECTRUM,1,2023
AFLP analysis reveals high genetic diversity but low population structure in Coccidioides posadasii isolates from Mexico and Argentina,BMC INFECTIOUS DISEASES,17,2013
Secondary structure model for the first three domains of Q beta RNA. Control of A-protein synthesis,JOURNAL OF MOLECULAR BIOLOGY,38,1996
A discovery of the northernmost population of the giant mangrove whelk Terebralia palustris (Mollusca: Gastropoda: Potamididae) on Zamami Island and its genetic variability,PLANKTON & BENTHOS RESEARCH,0,2024
Genome-wide identification and expression analysis of Na+/H+ antiporter (NHX) genes in tomato under salt stress,PLANT DIRECT,1,2023
Population genomic analyses suggest recent dispersal events of the pathogen Cercospora zeina into East and Southern African maize cropping systems,G3-GENES GENOMES GENETICS,0,2023
Emergence and Transmission of Daptomycin and Vancomycin-Resistant Enterococci Between Patients and Hospital Rooms,CLINICAL INFECTIOUS DISEASES,11,2021
Functional identification of PsMYB57 involved in anthocyanin regulation of tree peony,BMC GENETICS,14,2020
Genome-wide identification and expression analysis reveal the potential function of ethylene responsive factor gene family in response to Botrytis cinerea infection and ovule development in grapes (Vitis vinifera L.),PLANT BIOLOGY,24,2019
Summer phyto- and bacterioplankton communities during low and high productivity scenarios in the Western Antarctic Peninsula,POLAR BIOLOGY,16,2019
"The polyphasic approach revealed new species of Chloroidium (Trebouxiophyceae, Chlorophyta)",PHYTOTAXA,19,2018
Network Analysis of RAD51 Proteins in Metazoa and the Evolutionary Relationships With Their Archaeal Homologs,FRONTIERS IN GENETICS,5,2018
The Vanadium Iodoperoxidase from the Marine Flavobacteriaceae Species Zobellia galactanivorans Reveals Novel Molecular and Evolutionary Features of Halide Specificity in the Vanadium Haloperoxidase Enzyme Family,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,41,2014
Functional Characterization of 14 Pht1 Family Genes in Yeast and Their Expressions in Response to Nutrient Starvation in Soybean,PLOS ONE,76,2012
Insertion Sequences as Highly Resolutive Genomic Markers for Sequence Type 1 Legionella pneumophila Paris,JOURNAL OF CLINICAL MICROBIOLOGY,5,2011
Homoplasy and homology: Dichotomy or continuum?,JOURNAL OF HUMAN EVOLUTION,96,2007
Evolutionary Pattern of Interferon Alpha Genes in Bovidae and Genetic Diversity of IFNAA in the Bovine Genome,FRONTIERS IN IMMUNOLOGY,4,2020
Dietary Bioactive Lipid Compounds Rich in Menthol Alter Interactions Among Members of Ruminal Microbiota in Sheep,FRONTIERS IN MICROBIOLOGY,18,2019
Evolutionary relationship of moso bamboo forms and a multihormone regulatory cascade involving culm shape variation,PLANT BIOTECHNOLOGY JOURNAL,0,2024
Potential Contribution of Ancient Introgression to the Evolution of a Derived Reproductive Strategy in Ricefishes,GENOME BIOLOGY AND EVOLUTION,1,2023
Haplotype analysis of the mitochondrial DNA d-loop region reveals the maternal origin and historical dynamics among the indigenous goat populations in east and west of the Democratic Republic of Congo,ECOLOGY AND EVOLUTION,2,2022
Pattern and timing of mitochondrial divergence of island spotted skunks on the California Channel Islands,JOURNAL OF MAMMALOGY,3,2022
The appropriate dose of Bacillus cereus improves the homeostasis of intestinal microbiota but does not significantly influence microbial functions in Paramisgurnus dabryanus,AQUACULTURE RESEARCH,3,2022
The mitogenome of Phytophthora agathidicida: Evidence for a not so recent arrival of the kauri killing Phytophthora in New Zealand,PLOS ONE,8,2021
"A genome-wide analysis of NPF and NRT2 transporter gene families in bread wheat provides new insights into the distribution, function, regulation and evolution of nitrate transporters",PLANT AND SOIL,15,2021
Proteome-Scale Detection of Differential Conservation Patterns at Protein and Subprotein Levels with BLUR,GENOME BIOLOGY AND EVOLUTION,3,2021
Genome-wide analysis and characterization of GRAS family in switchgrass,BIOENGINEERED,6,2021
Phylogeography of the European sturgeon (Acipenser sturio): A critically endangered species,MOLECULAR PHYLOGENETICS AND EVOLUTION,20,2016
Genome-wide identification and transcriptional expression analysis of mitogen-activated protein kinase and mitogen-activated protein kinase kinase genes in Capsicum annuum,FRONTIERS IN PLANT SCIENCE,49,2015
"Effective epitope identification employing phylogenetic, mutational variability, sequence entropy, and correlated mutation analysis targeting NS5B protein of hepatitis C virus: from bioinformatics to therapeutics",JOURNAL OF MOLECULAR RECOGNITION,1,2015
Population structure of the invasive forest pathogen Hymenoscyphus pseudoalbidus,MOLECULAR ECOLOGY,91,2014
Metabolic Evolution of a Deep-Branching Hyperthermophilic Chemoautotrophic Bacterium,PLOS ONE,32,2014
Characterization of the cciIR quorum-sensing system in Burkholderia cenocepacia,INFECTION AND IMMUNITY,101,2005
Structural determinants of the agonist-independent association of human peroxisome proliferator-activated receptors with coactivators,JOURNAL OF BIOLOGICAL CHEMISTRY,66,2005
Variation in xylem structure from tropics to tundra: Evidence from vestured pits,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,107,2004
DNA-Binding with One Finger (Dof) Transcription Factor Gene Family Study Reveals Differential Stress-Responsive Transcription Factors in Contrasting Drought Tolerance Potato Species,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0,2024
"Phylogenetic analysis and interactomics study unveil gene co-optive evolution of LysR-type transcription regulators across non-pathogenic, opportunistic, and pathogenic mycobacteria",3 BIOTECH,0,2023
Experimental temperatures shape host microbiome diversity and composition,GLOBAL CHANGE BIOLOGY,24,2023
Genetic Diversity and Phylogenetic Structures of Four Tibet Yak Populations Using CytB Gene Sequence of Mitochondrial DNA,RUSSIAN JOURNAL OF GENETICS,0,2022
Critical Role of the Subways in the Initial Spread of SARS-CoV-2 in New York City,FRONTIERS IN PUBLIC HEALTH,7,2021
Metagenomic Insights Into Ecosystem Function in the Microbial Mats of a Large Hypersaline Coastal Lagoon System,FRONTIERS IN MARINE SCIENCE,2,2021
Macroevolutionary patterns of body plan canalization in euarthropods,PALEOBIOLOGY,14,2020
Genetic history of Bashkirian Mari and Southern Mansi ethnic groups in the Ural region,MOLECULAR GENETICS AND GENOMICS,5,2019
Current genetic diversity in eight local Chinese sheep populations,MOLECULAR BIOLOGY REPORTS,7,2019
Developmental push or environmental pull? The causes of macroevolutionary dynamics,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,13,2017
Variation in vegetative morphology tracks the complex genetic diversification of the mycoheterotrophic species Pyrola japonica sensu lato,AMERICAN JOURNAL OF BOTANY,10,2016
Structural and Functional Studies of a Newly Grouped Haloquadratum walsbyi Bacteriorhodopsin Reveal the Acid-resistant Light-driven Proton Pumping Activity,JOURNAL OF BIOLOGICAL CHEMISTRY,15,2015
Metaproteogenomic insights beyond bacterial response to naphthalene exposure and bio-stimulation,ISME JOURNAL,97,2013
Levels of Biological Organization and the Origin of Novelty,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,32,2012
Gene Network Homology in Prokaryotes Using a Similarity Search Approach: Queries of Quorum Sensing Signal Transduction,PLOS COMPUTATIONAL BIOLOGY,27,2012
Specific arbuscular mycorrhizal fungi associated with non-photosynthetic Petrosavia sakuraii (Petrosaviaceae),MYCORRHIZA,23,2011
"Evolutionary Convergence and Nitrogen Metabolism in Blattabacterium strain Bge, Primary Endosymbiont of the Cockroach Blattella germanica",PLOS GENETICS,121,2009
A morphological and genetic analysis of the European bitterling species complex,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,17,2008
Evolution after the flood: Phylogeography of the desert fish Utah chub,EVOLUTION,46,2002
"Epidemiology and evolution of Middle East respiratory syndrome coronavirus, 2012-2020",INFECTIOUS DISEASES OF POVERTY,30,2021
Spatial and temporal patterns of gene expression during neurogenesis in the sea urchin Lytechinus variegatus,EVODEVO,15,2019
Evolutionary analysis of the OSCA gene family in sunflower (Helianthus annuus L) and expression analysis under NaCl stress,PEERJ,3,2023
"targetTB: A target identification pipeline for Mycobacterium tuberculosis through an interactome, reactome and genome-scale structural analysis",BMC SYSTEMS BIOLOGY,824,2008
Eukaryotic genomes may exhibit up to 10 generic classes of gene promoters,BMC GENOMICS,46,2012
An SOS Regulon under Control of a Noncanonical LexA-Binding Motif in the Betaproteobacteria,JOURNAL OF BACTERIOLOGY,10,2015
"Elucidating the native sources of an invasive tree species, Acacia pycnantha, reveals unexpected native range diversity and structure",ANNALS OF BOTANY,16,2013
"Black spot diseases in seven commercial fish species from the English Channel and the North Sea: infestation levels, identification and population genetics of Cryptocotyle spp.",PARASITE,4,2023
Elevated CO2 and/or O3 shift the functional processes and structural complexity of soil protists in a paddy soil,APPLIED SOIL ECOLOGY,1,2023
